Squad_Code,Squad_Name,Text
456a2ba8,Long-Eaton-United-FC,Long-Eaton-United-FC-Match-Logs-All-Competitions
95ffbc0a,Longlevens-AFC,Longlevens-AFC-Match-Logs-All-Competitions
d8ef4c92,Long-Melford-FC,Long-Melford-FC-Match-Logs-All-Competitions
2b52c7d2,Longridge-Town-FC,Longridge-Town-FC-Match-Logs-All-Competitions
36adf659,Longwell-Green-Sports-FC,Longwell-Green-Sports-FC-Match-Logs-All-Competitions
4fbfc68e,Lons-le-Saulnier,Lons-le-Saulnier-Match-Logs-All-Competitions
ca2e8132,Lordswood-FC,Lordswood-FC-Match-Logs-All-Competitions
ffbfc2ea,Loughborough-Dynamo-FC,Loughborough-Dynamo-FC-Match-Logs-All-Competitions
8b451211,Loughborough-University-FC,Loughborough-University-FC-Match-Logs-All-Competitions
75115000,Lower-Breck-FC,Lower-Breck-FC-Match-Logs-All-Competitions
e2a21e1b,Lowestoft-Town-FC,Lowestoft-Town-FC-Match-Logs-All-Competitions
ec282e5c,Loxwood-FC,Loxwood-FC-Match-Logs-All-Competitions
57ea79cd,Lubeck,Lubeck-Match-Logs-All-Competitions
57b9c01c,Luc-Primaube-FC,Luc-Primaube-FC-Match-Logs-All-Competitions
9a9e0c9d,Luneburger-SK-Hansa,Luneburger-SK-Hansa-Match-Logs-All-Competitions
1b719877,LUnion-Saint-Jean-FC,LUnion-Saint-Jean-FC-Match-Logs-All-Competitions
e297cd13,Luton-Town,Luton-Town-Match-Logs-All-Competitions
e9107eb0,Lutterworth-Town-AFC,Lutterworth-Town-AFC-Match-Logs-All-Competitions
e5b381b8,Luzenac-AP,Luzenac-AP-Match-Logs-All-Competitions
9b96bd27,Lydney-Town-AFC,Lydney-Town-AFC-Match-Logs-All-Competitions
ec3067fc,Lye-Town-FC,Lye-Town-FC-Match-Logs-All-Competitions
35e9d30d,Lymington-Town-FC,Lymington-Town-FC-Match-Logs-All-Competitions
ac5773a5,Macclesfield-FC,Macclesfield-FC-Match-Logs-All-Competitions
4792ab67,Macclesfield-Town,Macclesfield-Town-Match-Logs-All-Competitions
e18a73da,Magdeburg,Magdeburg-Match-Logs-All-Competitions
d3bb6f17,Magdeburger-FFC,Magdeburger-FFC-Match-Logs-All-Competitions
7cf2360b,Maidenhead-United,Maidenhead-United-Match-Logs-All-Competitions
5bb68ee3,Maidstone-United,Maidstone-United-Match-Logs-All-Competitions
7685c25c,Maine-Road-FC,Maine-Road-FC-Match-Logs-All-Competitions
fd7718b7,Mainz-05-II,Mainz-05-II-Match-Logs-All-Competitions
e8979067,Maldon-and-Tiptree-FC,Maldon-and-Tiptree-FC-Match-Logs-All-Competitions
d0710d5b,Malmesbury-Victoria,Malmesbury-Victoria-Match-Logs-All-Competitions
e5c50549,Maltby-Main-FC,Maltby-Main-FC-Match-Logs-All-Competitions
6c4ff7a2,Malvern-Town-FC,Malvern-Town-FC-Match-Logs-All-Competitions
2bed3866,Mangotsfield-United-FC,Mangotsfield-United-FC-Match-Logs-All-Competitions
151d706e,Mannheim,Mannheim-Match-Logs-All-Competitions
13cb8449,Mansfield-Town,Mansfield-Town-Match-Logs-All-Competitions
dbc75ffa,March-Town-United,March-Town-United-Match-Logs-All-Competitions
c4f07b53,Mareuil-SC,Mareuil-SC-Match-Logs-All-Competitions
422d7787,Margate-FC,Margate-FC-Match-Logs-All-Competitions
ac17e8b2,Marine-FC,Marine-FC-Match-Logs-All-Competitions
5b913cc8,Market-Drayton-Town-FC,Market-Drayton-Town-FC-Match-Logs-All-Competitions
cbf1c547,Marlow-FC,Marlow-FC-Match-Logs-All-Competitions
7cb039af,Marske-United-FC,Marske-United-FC-Match-Logs-All-Competitions
d255322a,Marssac-Rivieres-Senouillac,Marssac-Rivieres-Senouillac-Match-Logs-All-Competitions
82e8a66d,Martigues,Martigues-Match-Logs-All-Competitions
cb9661c9,Matlock-Town-FC,Matlock-Town-FC-Match-Logs-All-Competitions
09f00144,Mechelen,Mechelen-Match-Logs-All-Competitions
f0a9fb0c,Meinerzhagen,Meinerzhagen-Match-Logs-All-Competitions
38269af5,Melksham-Town-FC,Melksham-Town-FC-Match-Logs-All-Competitions
4345f782,Melton-Town-FC,Melton-Town-FC-Match-Logs-All-Competitions
222292c8,Melun-FC,Melun-FC-Match-Logs-All-Competitions
93e94415,Meppen,Meppen-Match-Logs-All-Competitions
0e497b8d,Merstham-FC,Merstham-FC-Match-Logs-All-Competitions
3cce464f,Merthyr-Town-FC,Merthyr-Town-FC-Match-Logs-All-Competitions
2b361221,Metropolitan-Police-FC,Metropolitan-Police-FC-Match-Logs-All-Competitions
f83960ae,Metz,Metz-Match-Logs-All-Competitions
fef07ac6,Mickleover-Sports-FC,Mickleover-Sports-FC-Match-Logs-All-Competitions
7f59c601,Middlesbrough,Middlesbrough-Match-Logs-All-Competitions
36b70e8e,Midhurst-and-Easebourne-FC,Midhurst-and-Easebourne-FC-Match-Logs-All-Competitions
6c72992e,Mildenhall-Town-FC,Mildenhall-Town-FC-Match-Logs-All-Competitions
c2e66508,Mile-Oak-FC,Mile-Oak-FC-Match-Logs-All-Competitions
f4bc080e,Millbrook-AFC,Millbrook-AFC-Match-Logs-All-Competitions
e3c537a1,Millwall,Millwall-Match-Logs-All-Competitions
fcf5b1e1,Milton-Keynes-Dons,Milton-Keynes-Dons-Match-Logs-All-Competitions
03cb80f2,Milton-Keynes-Irish-FC,Milton-Keynes-Irish-FC-Match-Logs-All-Competitions
ab7617e3,Molesey-FC,Molesey-FC-Match-Logs-All-Competitions
2a655d60,Mole-Valley-SCR-FC,Mole-Valley-SCR-FC-Match-Logs-All-Competitions
64c31d0e,Moneyfields-FC,Moneyfields-FC-Match-Logs-All-Competitions
5894f11f,Mons,Mons-Match-Logs-All-Competitions
c0459244,Mons-AC,Mons-AC-Match-Logs-All-Competitions
574c10c9,Montauban-FC-Tarn-et-Garonne,Montauban-FC-Tarn-et-Garonne-Match-Logs-All-Competitions
6e65ebe0,Monts-dOr-Azergues-Foot,Monts-dOr-Azergues-Foot-Match-Logs-All-Competitions
6ca73159,Morecambe,Morecambe-Match-Logs-All-Competitions
0523f0dd,Morpeth-Town-AFC,Morpeth-Town-AFC-Match-Logs-All-Competitions
bee286ac,MOS-3-Rivieres-FC,MOS-3-Rivieres-FC-Match-Logs-All-Competitions
2bf3ce84,Mossley-AFC,Mossley-AFC-Match-Logs-All-Competitions
5be3855a,Mouscron,Mouscron-Match-Logs-All-Competitions
3bc89541,Mousehole-AFC,Mousehole-AFC-Match-Logs-All-Competitions
bbfd364f,MSV-Duisburg,MSV-Duisburg-Match-Logs-All-Competitions
f0a37569,Mulbarton-Wanderers-FC,Mulbarton-Wanderers-FC-Match-Logs-All-Competitions
e88fc6e5,Nancy,Nancy-Match-Logs-All-Competitions
9407702a,Nantwich-Town-FC,Nantwich-Town-FC-Match-Logs-All-Competitions
5d3d3c6c,NDC-Angers,NDC-Angers-Match-Logs-All-Competitions
d0684a25,Needham-Market-FC,Needham-Market-FC-Match-Logs-All-Competitions
1a20cdfc,Nelson-FC,Nelson-FC-Match-Logs-All-Competitions
5f17a87d,Newark-FC,Newark-FC-Match-Logs-All-Competitions
fc8e01ae,Newcastle-Benfield-FC,Newcastle-Benfield-FC-Match-Logs-All-Competitions
c3badeb5,Newcastle-Town-FC,Newcastle-Town-FC-Match-Logs-All-Competitions
