Squad_Code,Year,Name,Text
4df0dff8,2019-2020,Daniel-Martin,Daniel-Martin-Match-Logs
085e71a7,2019-2020,Bartlomiej-Dragowski,Bartlomiej-Dragowski-Match-Logs
f93ed0df,2019-2020,Gabriel,Gabriel-Match-Logs
6385ebfb,2019-2020,Darren-Randolph,Darren-Randolph-Match-Logs
420c18a1,2019-2020,Yann-Sommer,Yann-Sommer-Match-Logs
339fe0e8,2019-2020,Thomas-Strakosha,Thomas-Strakosha-Match-Logs
ee833569,2019-2020,Etrit-Berisha,Etrit-Berisha-Match-Logs
2434f24a,2019-2020,Benoit-Costil,Benoit-Costil-Match-Logs
a70b8345,2019-2020,Frederik-Ronnow,Frederik-Ronnow-Match-Logs
01b8a2b2,2019-2020,Wojciech-Szczesny,Wojciech-Szczesny-Match-Logs
f6a06749,2019-2020,Carlo-Pinsoglio,Carlo-Pinsoglio-Match-Logs
4535e4bb,2019-2020,Mathew-Ryan,Mathew-Ryan-Match-Logs
bcb2ccd8,2019-2020,Peter-Gulacsi,Peter-Gulacsi-Match-Logs
466fb2c5,2019-2020,Aaron-Ramsdale,Aaron-Ramsdale-Match-Logs
5512b1a9,2019-2020,Juan-Soriano,Juan-Soriano-Match-Logs
3bb7b8b4,2019-2020,Ederson,Ederson-Match-Logs
ac4003af,2019-2020,Marco-Sportiello,Marco-Sportiello-Match-Logs
f9b42381,2019-2020,Miquel-Parera,Miquel-Parera-Match-Logs
